z,y,x
497,761,829
634,164,775
712,53,794
686,93,138
489,105,783
559,31,355
580,220,809
678,229,815
597,95,326
505,596,825
512,33,641
685,110,729
726,177,755
556,141,601
593,35,659
606,89,141
512,184,778
395,733,591
559,115,55
390,793,666
584,795,787
533,99,694
572,172,705
241,787,761
517,30,447
354,761,69
669,51,68
296,804,499
348,722,683
425,183,66
317,737,241
443,162,829
461,102,56
510,92,330
740,79,214
634,155,587
376,791,502
205,805,185
566,127,798
624,255,731
235,658,182
518,787,723
636,32,356
460,642,761
642,137,75
659,762,818
635,35,565
426,35,57
445,796,575
412,511,819
650,317,800
378,792,396
236,704,265
322,793,161
319,791,318
514,97,520
424,30,444
186,664,324
432,804,322
704,281,292
688,100,330
434,100,521
389,99,797
771,268,792
684,340,708
472,92,423
560,95,231
367,661,786
455,722,830
394,627,696
497,704,733
624,71,786
171,759,796
486,726,553
554,35,756
328,790,598
189,651,675
419,721,485
646,164,174
462,806,71
357,681,85
317,677,166
554,163,363
171,793,276
742,34,668
654,710,738
362,673,253
506,178,60
471,349,792
432,113,704
213,714,610
426,95,335
451,440,815
680,273,119
380,167,667
543,636,745
687,82,629
717,225,207
617,342,307
257,724,503
548,268,48
411,646,449
584,584,806
386,713,175
358,661,603
572,302,788
497,271,796
394,233,818
450,568,709
311,595,159
510,602,652
579,614,596
607,664,802
564,384,793
472,274,689
448,351,671
645,93,242
534,691,648
598,97,521
431,660,552
511,397,636
137,721,293
439,206,732
705,733,660
573,424,694
295,32,729
701,327,212
344,35,823
614,493,681
761,121,306
728,35,561
529,789,495
365,237,714
375,114,50
560,203,526
249,699,695
227,525,750
395,793,140
494,313,595
599,162,265
706,261,719
388,32,538
210,605,243
365,344,825
564,299,372
618,297,457
493,656,447
396,564,436
213,580,816
589,226,414
382,739,309
725,154,623
476,167,552
566,361,568
289,719,73
587,575,691
460,667,651
785,36,762
432,723,73
522,337,708
474,458,578
258,792,90
516,411,509
485,322,488
493,168,672
623,298,217
701,288,504
381,469,737
733,257,55
430,94,135
229,558,181
759,114,706
607,233,144
142,786,368
192,582,351
339,187,65
767,32,292
750,227,467
591,787,441
569,446,588
320,595,448
288,636,246
337,421,797
674,632,749
303,644,530
153,767,602
352,581,628
782,160,46
595,219,629
626,512,803
604,656,682
445,738,383
682,110,521
342,41,57
394,438,570
521,231,136
222,652,531
432,235,337
464,251,65
627,730,623
470,234,226
403,388,749
410,316,118
216,674,422
599,503,325
645,566,614
635,436,758
379,751,799
201,712,74
342,220,602
484,305,372
275,210,752
288,379,418
316,651,719
293,427,140
349,596,89
283,387,735
442,786,747
646,226,263
407,592,811
370,801,250
620,411,510
248,784,253
343,99,515
316,592,784
514,234,612
636,666,554
229,141,823
281,556,245
379,364,614
558,348,457
464,747,654
698,320,391
698,331,64
289,327,136
453,379,565
669,228,434
480,298,175
519,484,664
347,338,710
568,719,550
458,491,732
304,696,323
421,513,633
459,591,504
562,453,64
682,656,643
518,303,275
667,34,706
761,116,519
681,33,473
258,639,634
698,368,485
301,168,662
693,422,687
295,713,597
624,169,483
545,246,715
374,606,540
512,251,440
512,236,335
433,32,640
344,623,355
367,293,331
763,256,362
151,807,698
303,276,669
614,111,678
354,588,248
455,793,212
159,723,691
525,543,743
378,95,236
353,541,345
377,166,160
551,596,404
338,457,492
425,168,256
152,597,170
484,465,419
414,668,345
237,597,445
697,190,528
558,286,524
256,238,149
289,350,633
767,199,276
547,718,821
706,153,255
568,296,633
563,232,242
211,377,789
372,523,549
205,741,337
637,345,127
587,410,143
557,34,553
702,483,758
215,775,434
628,396,626
480,548,415
284,486,569
473,35,738
767,385,434
337,299,575
699,391,798
142,557,251
525,491,512
452,797,474
279,550,672
293,95,793
583,614,70
571,361,230
255,101,517
787,79,609
320,283,779
442,419,145
281,633,68
603,347,706
220,471,156
213,445,727
771,288,669
341,424,233
147,620,829
383,257,51
251,94,324
446,500,153
348,315,438
252,94,698
646,283,635
702,149,431
291,329,332
491,416,61
581,800,86
228,472,339
565,158,149
215,390,154
643,335,551
424,546,63
362,410,408
556,509,415
337,420,670
751,799,649
293,474,728
665,213,50
670,796,722
355,316,210
627,371,411
435,303,279
555,469,787
448,715,258
598,32,461
295,267,39
745,770,754
350,506,241
550,723,166
566,358,63
298,92,237
210,520,426
775,207,681
273,376,214
321,790,722
518,536,150
390,100,419
149,796,495
495,418,737
761,347,754
715,240,618
296,166,555
333,241,134
436,216,624
473,165,352
689,532,534
636,94,414
254,285,582
259,173,456
770,278,552
498,413,241
361,378,507
297,241,507
636,165,372
174,732,212
640,393,223
687,806,487
510,645,553
223,313,388
281,325,498
430,595,612
217,497,641
143,648,242
81,729,748
493,498,67
173,578,738
214,446,549
220,164,145
376,457,323
584,196,37
575,534,83
266,655,810
547,372,320
427,274,434
217,527,537
233,144,605
429,626,67
694,370,306
531,621,155
394,482,424
351,234,401
391,35,734
253,450,450
142,534,805
593,492,148
495,635,338
213,119,229
442,406,322
524,541,324
705,205,340
212,821,346
627,403,49
762,336,334
370,462,152
209,577,626
369,549,746
426,543,240
448,510,500
211,368,678
308,717,764
781,191,556
577,724,718
340,427,60
195,681,770
629,628,410
298,673,447
356,381,129
572,531,602
204,343,80
226,256,309
151,645,467
723,573,801
759,530,716
258,32,633
170,99,764
116,656,738
413,372,210
341,169,267
595,796,571
731,690,748
210,163,717
343,511,93
252,773,644
617,713,231
314,480,391
249,309,737
767,616,722
399,288,646
681,483,328
626,547,412
700,416,397
500,582,246
360,372,307
765,450,641
524,811,163
148,516,176
151,495,707
211,308,174
770,176,388
215,392,362
629,243,519
213,169,336
307,236,309
645,471,584
495,498,242
433,432,667
663,194,682
145,564,435
294,753,404
600,719,57
215,261,60
776,219,134
739,577,263
760,419,330
207,421,256
248,33,818
201,32,718
182,546,63
667,445,146
128,621,361
345,168,767
706,596,441
509,166,448
147,527,609
549,720,434
752,506,216
763,465,424
513,670,245
344,97,707
490,541,585
762,519,578
284,525,474
102,728,540
509,663,66
713,322,608
411,299,753
689,676,456
770,625,498
642,490,233
616,420,323
728,594,56
297,99,426
709,405,588
364,706,397
114,740,70
761,514,64
752,779,543
149,490,510
144,289,229
143,326,327
461,247,529
268,247,406
590,633,231
541,572,508
428,184,460
144,431,162
683,565,340
652,571,65
434,633,238
191,215,416
772,369,648
779,401,41
416,347,388
713,445,59
141,414,329
694,651,355
79,523,669
721,579,643
287,404,534
711,701,558
145,473,253
627,589,505
190,223,216
522,457,303
761,572,372
766,357,538
157,452,799
220,361,573
382,240,508
74,517,287
605,511,501
291,416,323
765,98,411
257,470,819
586,751,320
516,744,87
692,749,411
624,711,400
456,584,156
664,552,719
343,500,642
712,732,59
260,427,639
285,569,570
572,452,246
431,419,473
449,500,332
694,453,497
185,153,490
410,314,529
215,122,45
343,34,645
90,699,648
169,94,137
146,168,270
154,250,132
300,97,614
76,553,176
465,673,152
647,804,359
633,466,416
340,167,467
146,242,324
65,639,800
214,279,488
761,647,613
217,376,471
139,170,159
260,186,254
772,35,474
92,580,756
643,738,501
78,806,557
77,634,185
712,436,245
171,94,324
700,516,426
83,486,767
147,409,514
762,501,327
666,664,67
769,652,396
160,215,662
574,648,478
240,224,655
688,526,141
580,667,328
142,675,153
78,440,677
72,474,197
757,572,158
138,288,36
167,195,42
107,281,666
668,788,238
80,683,454
76,602,291
188,254,755
70,655,556
701,500,647
62,737,165
80,601,464
72,558,362
158,87,539
703,613,547
768,541,473
149,284,404
72,436,277
295,166,366
212,336,281
49,559,825
134,173,379
144,368,420
129,91,228
213,91,416
76,475,360
760,727,353
43,715,831
733,729,244
187,293,646
769,449,140
719,791,319
127,119,52
785,718,665
770,441,531
229,210,545
80,773,445
757,719,468
78,439,480
80,277,481
709,794,134
70,391,171
151,326,515
125,33,758
761,795,422
134,172,750
79,401,772
78,398,580
167,45,50
97,89,827
160,252,560
120,208,479
83,315,574
85,232,201
69,264,101
658,572,238
86,236,750
56,661,338
770,732,139
81,316,773
69,357,311
695,696,155
71,193,298
130,97,418
164,32,623
